程序,,串行,"StoryBlock(35,true);",,,,,,,,,,
程序,,串行,CanSkip(true);,,,,,,,,,,
程序,,串行,SetUIMode(2);,,,,,,,,,,
程序,,串行,"SetChapter(01,边界徘徊的七等星)",,,,,,,,,,
程序,,串行,VisionTrigger(false);,,,,,,,,,,
背景,,串行,创建图片,0009B_练马警察署_审讯室.png; bg1;,1;1;0;,0;0;0;0;0;,淡入,,,,,,
UI,,串行,创建图片,sv0147_审讯室遮罩.png; cover01;,1;1;0;,0;0;0;0;0;,1;1;0;,,,,,,
立绘,,串行,创建图片,B01_A01_心弥_平静.png; kokomi;,1.6;1.6;0;,0;-800; 0; -800; 0;,0;1;0.5;,,225;225;225;,,,,
BGM,,串行,B04-会议记录.mp3,循环,70;70;0;,,,,,,,,
文本,,串行,旁白,0;1;0.5;,,,34,,30,,,,
文本,,串行,头像,1;1;0;,草加 裕介,姓名？,34,蓝_B05_A01_草加_平静.png,30,,,,
文本,点击触发,串行,台词,1;1;0;,五十岚 心弥,五十岚心弥。,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,出生日期？,34,蓝_B05_A01_草加_平静.png,30,,,,
立绘,点击触发,并行,切换图片,kokomi; B01_A11_心弥_无奈.png; 0.2;,1.6;1.6;0;,0;-800; 0; -800; 0;,1;1;0;,,225;225;225;,,,,
文本,,并行,台词,1;1;0;,五十岚 心弥,2013年9月3日。,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,职业？,34,蓝_B05_A01_草加_平静.png,30,,,,
立绘,点击触发,并行,切换图片,kokomi; B01_A01_心弥_平静.png; 0.2;,1.6;1.6;0;,0;-800; 0; -800; 0;,1;1;0;,,225;225;225;,,,,
文本,,并行,台词,1;1;0;,五十岚 心弥,软件测试师，SEGMA公司社长助理。,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,五十岚心弥小姐，现在我们对你执行的是羁押程序，将会限制您的人身自由48小时。,34,蓝_B05_A02_草加_微笑.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,您可以在审讯中保持沉默，但您在此期间说的每一句话，都会被记录进供述书。,34,蓝_B05_A02_草加_微笑.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,48小时后，会由检察官判断您是否依旧有嫌疑，以及决定是继续羁押等待起诉还是即刻释放。,34,蓝_B05_A02_草加_微笑.png,30,,,,
立绘,点击触发,并行,切换图片,kokomi; B01_A07_心弥_思索.png; 0.2;,1.6;1.6;0;,0;-800; 0; -800; 0;,1;1;0;,,225;225;225;,,,,
文本,,并行,台词,1;1;0;,五十岚 心弥,所以检察官呢？,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,她最近在医院养病，所以只能线上旁听审讯。,34,蓝_B05_A07_草加_麻烦.png,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,草加裕介说着，指了指头顶的监控摄像头。,34,,30,,,,
立绘,点击触发,并行,切换图片,kokomi; B01_A06_心弥_沉思.png; 0.2;,1.6;1.6;0;,0;-800; 0; -800; 0;,1;1;0;,,225;225;225;,,,,
文本,,并行,台词,1;1;0;,五十岚 心弥,我可以问一个问题吗？,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,请讲。,34,蓝_B05_A15_草加_留意.png,30,,,,
立绘,点击触发,并行,切换图片,kokomi; B01_A01_心弥_平静.png; 0.2;,1.6;1.6;0;,0;-800; 0; -800; 0;,1;1;0;,,225;225;225;,,,,
文本,,并行,台词,1;1;0;,五十岚 心弥,什么情况下，检方会认为我无罪，将我释放？,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,在现有证据和你的供词与案情有明显矛盾的时候，或是我们抓到了除你以外的真犯人的时候。,34,蓝_B05_A08_草加_苦笑.png,30,,,,
立绘,点击触发,并行,切换图片,kokomi; B01_A06_心弥_沉思.png; 0.2;,1.6;1.6;0;,0;-800; 0; -800; 0;,1;1;0;,,225;225;225;,,,,
文本,,并行,台词,1;1;0;,五十岚 心弥,明白了，谢谢。,34,,30,,,,
立绘,点击触发,并行,选中图片,kokomi,1.6;1.6;0;,0;-800; 0; -800; 0;,1;0;0.5;,,225;225;225;,,,,
文本,,并行,旁白,1;1;0;,,五十岚心弥身体向后仰去，淡定得完全不像是个刚遭到拘捕的杀人犯。,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,那么，首先，对于您杀害同事佐野阳向的指控，您有什么想说的吗？,34,蓝_B05_A01_草加_平静.png,30,,,,
立绘,点击触发,并行,切换图片,kokomi; B01_A01_心弥_平静.png; 0;,1.6;1.6;0;,0;-800; 0; -800; 0;,0;0;0;,,225;225;225;,,,,
立绘,,并行,选中图片,kokomi,1.6;1.6;0;,0;-800; 0; -800; 0;,0;1;0.5;,,225;225;225;,,,,
文本,,并行,台词,1;1;0;,五十岚 心弥,没什么想说的，我承认是我干的。,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,杀害他的理由是什么？,34,蓝_B05_A01_草加_平静.png,30,,,,
文本,点击触发,串行,台词,1;1;0;,五十岚 心弥,情感纠纷。,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,详细说说呢？,34,蓝_B05_A15_草加_留意.png,30,,,,
立绘,点击触发,并行,切换图片,kokomi; B01_A11_心弥_无奈.png; 0.2;,1.6;1.6;0;,0;-800; 0; -800; 0;,1;1;0;,,225;225;225;,,,,
文本,,并行,台词,1;1;0;,五十岚 心弥,我追求他，他拒绝了我，我杀了他，就这么简单。,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,没有别的原因了？,34,蓝_B05_A16_草加_悲伤.png,30,,,,
立绘,点击触发,并行,切换图片,kokomi; B01_A08_心弥_微笑.png; 0.2;,1.6;1.6;0;,0;-800; 0; -800; 0;,1;1;0;,,225;225;225;,,,,
文本,,并行,台词,1;1;0;,五十岚 心弥,别的原因，你们可以自己调查嘛。,34,,30,,,,
立绘,点击触发,并行,选中图片,kokomi,1.6;1.6;0;,0;-800; 0; -800; 0;,1;0;0.5;,,225;225;225;,,,,
文本,,并行,旁白,1;1;0;,,草加裕介如实记录着五十岚心弥的供述，时不时还抬起头来看她一眼。,34,,30,,,,
立绘,点击触发,并行,选中图片,kokomi,1.6;1.6;0;,0;-800; 0; -800; 0;,0;1;0.5;,,225;225;225;,,,,
文本,,并行,头像,1;1;0;,草加 裕介,交代一下您在9月7日晚20时00分到23时15分之间的行踪。,34,蓝_B05_A01_草加_平静.png,30,,,,
立绘,点击触发,并行,切换图片,kokomi; B01_A05_心弥_严肃.png; 0.2;,1.6;1.6;0;,0;-800; 0; -800; 0;,1;1;0;,,225;225;225;,,,,
文本,,并行,台词,1;1;0;,五十岚 心弥,我在20时30分左右来到鸦巢公寓303室与佐野阳向会面，用气枪偷袭将他杀害。,34,,30,,,,
文本,点击触发,串行,台词,1;1;0;,五十岚 心弥,之后又花了不少时间在303室客厅伪造搏斗痕迹和搏斗声音。,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,为什么选择在303室作案？,34,蓝_B05_A01_草加_平静.png,30,,,,
立绘,点击触发,并行,切换图片,kokomi; B01_A11_心弥_无奈.png; 0.2;,1.6;1.6;0;,0;-800; 0; -800; 0;,1;1;0;,,225;225;225;,,,,
文本,,并行,台词,1;1;0;,五十岚 心弥,因为303室的住户是混黑社会的，你们的公民信息库很难查清他的底细。,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,您是从什么时候开始计划在303室作案的？,34,蓝_B05_A01_草加_平静.png,30,,,,
立绘,点击触发,并行,切换图片,kokomi; B01_A06_心弥_沉思.png; 0.2;,1.6;1.6;0;,0;-800; 0; -800; 0;,1;1;0;,,225;225;225;,,,,
文本,,并行,台词,1;1;0;,五十岚 心弥,五天前，我扮成空调维修工，偷到了303室的备用钥匙。,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,公寓三楼走廊的监控是你弄坏的吗？,34,蓝_B05_A01_草加_平静.png,30,,,,
立绘,点击触发,并行,切换图片,kokomi; B01_A01_心弥_平静.png; 0.2;,1.6;1.6;0;,0;-800; 0; -800; 0;,1;1;0;,,225;225;225;,,,,
文本,,并行,台词,1;1;0;,五十岚 心弥,是我。我黑入了几名玩弹弓的孩子的BMI，让他们误以为监控摄像头的位置停了只鸟，于是监控就被砸坏了。,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,你是否在犯案后清理过案发现场？,34,蓝_B05_A04_草加_思考.png,30,,,,
文本,点击触发,串行,台词,1;1;0;,五十岚 心弥,清理过，花了将近一刻钟呢。,34,,30,,,,
